"router","endpoint","mô tả","method","input(req.body)","output(res.body)","middleware","error (unhappy path)","note","packages","test"
"Xác thực","/api/auth/login","Đăng nhập và cấp JWT","POST","{ username, password }","{ access_token, token_type, user }","Không cần auth; kiểm tra user; loại user hết hạn","401 sai thông tin đăng nhập; 403 tài khoản bị vô hiệu hóa; 400 dữ liệu không hợp lệ","token_type mặc định bearer","FastAPI; Pydantic; SQLAlchemy; bcrypt; PyJWT","Đúng/sai username; đúng/sai password; user deactive"
"Xác thực","/api/auth/register","Admin tạo user mới","POST","{ username, password, fullname, cccd, email?, phone?, expired_at, role }","UserPublic","JWT Bearer + require_admin; hash mật khẩu; kiểm tra trùng username/cccd","400 trùng username/cccd; 403 không có quyền; 400 validate fail","CCCD phải đủ 12 số","FastAPI; Pydantic; SQLAlchemy; bcrypt","Tạo thành công; trùng username; trùng CCCD; non-admin bị chặn"
"Xác thực","/api/auth/bootstrap","Tạo admin đầu tiên khi chưa có user","POST","{ username, password, fullname, cccd, email?, phone?, expired_at? }","UserPublic","Chỉ chạy khi DB chưa có user","403 đã có user; 400 validate fail","Nếu thiếu expired_at thì mặc định 2099-12-31","FastAPI; Pydantic; SQLAlchemy; bcrypt","Bootstrap lần đầu; bootstrap lần hai; thiếu expired_at"
"Xác thực","/api/auth/me","Lấy profile user hiện tại","GET","Không có body; cần Authorization Bearer","UserPublic","JWT Bearer + get_current_user; đồng bộ user hết hạn","401 chưa xác thực/token sai; 404 user không tồn tại","Dùng cùng schema với login/register","FastAPI; SQLAlchemy; PyJWT","Có token; thiếu token; token hết hạn; user bị xóa"
"Xác thực","/api/auth/recover-password","Xác minh username + CCCD và cấp mật khẩu tạm","POST","{ username, cccd }","{ message, temporary_password }","Không cần auth; tạo mật khẩu mới","400 username hoặc CCCD không đúng; 400 validate fail","Không thể trả mật khẩu cũ vì đã hash bằng bcrypt","FastAPI; Pydantic; SQLAlchemy; bcrypt; secrets","Đúng username/CCCD; sai username; sai CCCD"
"Xác thực","/api/auth/change-password","Đổi mật khẩu tài khoản hiện tại","POST","{ current_password, new_password, confirm_password }","{ ok, message }","JWT Bearer + get_current_user; so khớp mật khẩu cũ","400 confirm không khớp; 400 current sai; 400 new trùng current; 401 chưa xác thực","Chỉ có access token, không có refresh token","FastAPI; SQLAlchemy; bcrypt; PyJWT","Đổi thành công; current sai; confirm sai; new trùng current"
"Người dùng","/api/users","Danh sách user cho admin","GET","Không có body; cần Authorization Bearer","Array UserPublic","JWT Bearer + require_admin; tự điền authorized_devices","403 không có quyền admin; 401 chưa xác thực","authorized_devices là danh sách thiết bị đã phân quyền","FastAPI; SQLAlchemy","Admin thấy toàn bộ user; authorized_devices đúng"
"Người dùng","/api/users/{user_id}","Cập nhật trạng thái user","PATCH","{ status: active|deactive }","UserPublic","JWT Bearer + require_admin","404 không tìm thấy user; 403 không có quyền; 400 status không hợp lệ","Chỉ đổi status","FastAPI; SQLAlchemy; Pydantic","Đổi active/deactive; user không tồn tại"
"Người dùng","/api/users/{user_id}","Xóa user","DELETE","Không có body","204 không trả body","JWT Bearer + require_admin; không cho xóa chính mình","400 không thể xóa chính mình; 404 không tìm thấy user; 403 không có quyền","Xóa theo user_id","FastAPI; SQLAlchemy","Xóa user khác; chặn xóa chính mình"
"Thiết bị","/api/devices","Danh sách toàn bộ thiết bị","GET","Không có body; cần Authorization Bearer","Array DevicePublic","JWT Bearer + require_admin","403 không có quyền admin","Trả mọi thiết bị","FastAPI; SQLAlchemy","Admin thấy toàn bộ thiết bị; non-admin bị chặn"
